CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
49.314.049/0001-08;2025-12-31;1;CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A;027464;DFP;155437;2026-03-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155437
49.669.856/0001-43;2025-12-31;1;VESTE S.A. ESTILO;021440;DFP;154998;2026-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154998
49.703.913/0001-63;2025-12-31;1;PLATÃO CAPITAL S.A.;027995;DFP;157737;2026-05-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157737
50.399.553/0001-37;2025-12-31;1;CONCESSIONÁRIA RODOANEL NORTE SPE S.A.;027782;DFP;156182;2026-04-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156182
50.564.053/0001-03;2025-12-31;1;BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL;012190;DFP;159247;2026-06-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159247
50.746.577/0001-15;2025-12-31;1;COSAN S.A.;019836;DFP;155203;2026-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155203
50.926.955/0001-42;2025-12-31;1;VULCABRAS S.A.;011762;DFP;155033;2026-03-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155033
51.128.999/0001-90;2025-12-31;1;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;021334;DFP;155761;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155761
51.136.974/0001-38;2025-12-31;1;EPR INFRAESTRUTURA PR S.A.;027715;DFP;155591;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155591
51.137.031/0001-20;2025-12-31;1;EPR LITORAL PIONEIRO S.A.;027723;DFP;155593;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155593
51.218.147/0001-93;2025-12-31;1;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;020494;DFP;154862;2026-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154862
51.430.503/0001-38;2025-12-31;1;PORTO SERVIÇO S.A;027600;DFP;154599;2026-02-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154599
51.466.860/0001-56;2025-03-31;1;SAO MARTINHO S.A.;020516;DFP;149581;2025-06-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149581
51.742.485/0001-20;2025-12-31;1;CONCESSIONÁRIA RODOVIAS DO CAFÉ SPE S.A.;027588;DFP;155589;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155589
51.742.485/0001-20;2025-12-31;2;CONCESSIONÁRIA RODOVIAS DO CAFÉ SPE S.A.;027588;DFP;155590;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155590
51.928.174/0001-50;2025-12-31;1;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;013471;DFP;155402;2026-03-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155402
52.017.473/0001-03;2025-12-31;1;AZEVEDO & TRAVASSOS ENERGIA S.A.;027626;DFP;155963;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155963
52.270.350/0001-71;2025-12-31;1;B100 S.A.;027634;DFP;155942;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155942
52.270.350/0001-71;2025-12-31;2;B100 S.A.;027634;DFP;156095;2026-04-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156095
52.270.350/0001-71;2025-12-31;3;B100 S.A.;027634;DFP;157042;2026-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157042
52.475.549/0001-36;2025-12-31;1;R/HOLDINGS S.A.;027685;DFP;155943;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155943
52.548.435/0001-79;2025-12-31;1;JSL S.A.;022020;DFP;155651;2026-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155651
52.805.925/0001-03;2025-12-31;1;BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.;027570;DFP;157276;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157276
52.810.883/0001-07;2025-12-31;1;REVEE MCO S.A.;027561;DFP;155937;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155937
52.841.191/0001-18;2025-12-31;1;REVEE S.A.;027650;DFP;155949;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155949
52.841.191/0001-18;2025-12-31;2;REVEE S.A.;027650;DFP;156134;2026-04-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156134
53.113.791/0001-22;2025-12-31;1;TOTVS S.A.;019992;DFP;154722;2026-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154722
53.153.938/0001-08;2025-12-31;1;UNIÃO PET PARTICIPAÇÕES S.A.;027766;DFP;155746;2026-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155746
55.231.969/0001-65;2025-12-31;1;EPR VIA MINEIRA S.A.;027863;DFP;155597;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155597
56.444.250/0001-75;2025-12-31;1;HAUSCENTER SA;014850;DFP;156312;2026-04-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156312
56.643.018/0001-66;2025-12-31;1;EUCATEX S.A. INDUSTRIA E COMERCIO;005770;DFP;155362;2026-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155362
56.720.428/0001-63;2025-12-31;1;ROMI S.A.;007510;DFP;154581;2026-02-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154581
56.720.428/0001-63;2025-12-31;2;ROMI S.A.;007510;DFP;154585;2026-02-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154585
56.992.423/0001-90;2025-12-31;1;BICICLETAS MONARK S.A.;001694;DFP;155759;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155759
58.056.046/0001-02;2025-12-31;1;EPR IGUAÇU S.A.;027928;DFP;155596;2026-03-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155596
58.070.452/0001-20;2025-12-31;1;IGUÁ SERGIPE S.A.;027812;DFP;155707;2026-03-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155707
58.119.199/0001-51;2025-12-31;1;BRADSAÚDE S.A.;020125;DFP;154958;2026-02-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154958
58.430.828/0001-60;2025-12-31;1;BLAU FARMACÊUTICA S.A.;024627;DFP;155446;2026-03-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155446
58.430.828/0001-60;2025-12-31;2;BLAU FARMACÊUTICA S.A.;024627;DFP;157378;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157378
59.105.999/0001-86;2025-12-31;1;WHIRLPOOL S.A.;014346;DFP;155763;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155763
59.115.685/0001-64;2025-12-31;1;TUPI ENERGIAS RENOVÁVEIS S.A.;027944;DFP;155168;2026-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155168
59.115.685/0001-64;2025-12-31;2;TUPI ENERGIAS RENOVÁVEIS S.A.;027944;DFP;155772;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155772
59.196.897/0001-13;2025-12-31;1;CONCESSIONÁRIA DE RODOVIAS PRVIAS S.A.;027898;DFP;155091;2026-03-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155091
59.418.806/0001-47;2025-12-31;1;TRACK & FIELD CO S.A.;025208;DFP;155199;2026-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155199
59.546.515/0001-34;2025-12-31;1;FISIA COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;027529;DFP;155195;2026-03-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155195
