CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
35.593.905/0001-05;2026-06-30;1;CONCESSIONÁRIA ECOVIAS DO CERRADO S.A.;026581;ITR;159833;2026-07-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159833
35.654.688/0001-08;2026-03-31;1;AUTOMOB PARTICIPAÇÕES S.A.;027707;ITR;156783;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156783
35.727.157/0001-06;2026-03-31;1;EZ INC INCORPORAÇÕES S.A.;025380;ITR;156847;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156847
35.764.708/0001-01;2026-03-31;1;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;027499;ITR;157118;2026-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157118
35.764.708/0001-01;2026-06-30;1;BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.;027499;ITR;160070;2026-07-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=160070
35.791.391/0001-94;2026-03-31;1;QUALITY SOFTWARE S.A.;023302;ITR;157634;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157634
35.822.503/0001-27;2026-03-31;1;INSPIRALI EDUCAÇÃO S.A.;027251;ITR;156722;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156722
35.980.592/0001-30;2026-03-31;1;ELEA DIGITAL INFRAESTRUTURA E REDES DE TELECOMUNICAÇÕES S.A.;026948;ITR;157621;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157621
36.146.575/0001-64;2026-03-31;1;EIXO SP CONCESSIONÁRIA DE RODOVIAS S.A.;026875;ITR;157409;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157409
36.542.025/0001-64;2026-03-31;1;BRQ SOLUCOES EM INFORMATICA S.A.;023817;ITR;157499;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157499
36.763.716/0001-98;2026-03-31;1;CONCESSIONÁRIA CATARINENSE DE RODOVIAS S.A.;026859;ITR;157174;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157174
37.663.076/0001-07;2026-03-31;1;AUREN PARTICIPAÇÕES S.A.;025640;ITR;156741;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156741
37.702.340/0001-74;2026-03-31;1;AUSTRAVIAS S.A.;026328;ITR;157511;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157511
38.042.694/0001-00;2026-03-31;1;TRAVESSIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;025240;ITR;157287;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157287
38.199.406/0001-18;2026-03-31;1;RIO ALTO ENERGIAS RENOVÁVEIS S.A.;025720;ITR;159572;2026-07-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159572
38.286.323/0001-66;2026-03-31;1;ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.;027545;ITR;157223;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157223
38.307.135/0001-77;2026-03-31;1;G2D INVESTMENTS, LTD.;080195;ITR;157432;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157432
38.456.921/0001-36;2026-03-31;1;INFRACOMMERCE CXAAS S.A.;025747;ITR;157674;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157674
39.115.514/0001-28;2026-03-31;1;RUMO MALHA OESTE S.A.;017850;ITR;157414;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157414
39.580.673/0001-01;2026-03-31;1;BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.;026999;ITR;157493;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157493
39.881.421/0001-04;2026-03-31;1;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;027154;ITR;157312;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157312
40.159.947/0001-64;2026-03-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;ITR;157191;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157191
40.263.170/0001-83;2026-03-31;1;SOLVI ESSENCIS AMBIENTAL S.A.;027073;ITR;157564;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157564
40.337.136/0001-06;2026-03-31;1;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;026000;ITR;157105;2026-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157105
41.052.420/0001-07;2026-03-31;1;SOLAR BEBIDAS S.A.;027014;ITR;157599;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157599
41.096.674/0001-19;2026-03-31;1;CANTU STORE S.A.;026646;ITR;157008;2026-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157008
41.508.382/0001-46;2026-03-31;1;RODOVIAS DO BRASIL HOLDING S.A.;026352;ITR;157448;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157448
41.570.356/0001-48;2026-03-31;1;VRENTAL LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS S.A.;027235;ITR;157676;2026-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157676
41.886.692/0001-02;2026-03-31;1;CONCESSIONARIA ROTA DE SANTA MARIA S.A;027294;ITR;157551;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157551
42.150.391/0001-70;2026-03-31;1;BRASKEM S.A.;004820;ITR;157346;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157346
42.233.757/0001-75;2026-03-31;1;ALVAREZ & MARSAL INVESTIMENTOS I S.A.;026433;ITR;157612;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157612
42.276.907/0001-28;2026-03-31;1;VLI MULTIMODAL S.A;028045;ITR;157734;2026-05-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157734
42.278.291/0001-24;2026-03-31;1;LOG-IN LOGISTICA INTERMODAL S.A.;020710;ITR;157275;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157275
42.278.473/0001-03;2026-03-31;1;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;023590;ITR;156855;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156855
42.292.007/0001-74;2026-03-31;1;RIO+ SANEAMENTO BL 3 S.A.;027146;ITR;157330;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157330
42.310.775/0001-03;2026-03-31;1;ÁGUAS DO RIO 1 SPE S.A.;026735;ITR;156779;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156779
42.331.462/0001-31;2026-03-31;1;EMBPAR PARTICIPAÇÕES S/A;015458;ITR;157122;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157122
42.353.180/0001-35;2026-03-31;1;IGUÁ RIO DE JANEIRO S.A.;026727;ITR;157341;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157341
42.500.384/0001-51;2026-03-31;1;SERENA ENERGIA S.A.;026441;ITR;156905;2026-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156905
